model,metric,value
Linear,rmse,2.9071208555142314
Linear,rmse,3.2542492309264084
Linear,rmse,2.863222920059053
Linear,rmse,2.3897657525483704
Linear,rmse,2.831220673178912
Linear,rmse,2.6025111235052476
Linear,rmse,2.9395547897681946
Linear,rmse,2.9231368911372053
Linear,rmse,2.428716844240341
Linear,rmse,2.6987504924558188
Linear,rsq,0.47859481992414904
Linear,rsq,0.4544949832935098
Linear,rsq,0.6243048496237451
Linear,rsq,0.6435615966305275
Linear,rsq,0.669766783623865
Linear,rsq,0.6486188627786397
Linear,rsq,0.57056899125818
Linear,rsq,0.5735936972441198
Linear,rsq,0.7039366014493238
Linear,rsq,0.6429144509028744
Linear,mae,2.2168258638469007
Linear,mae,2.526887520588369
Linear,mae,2.3423165564222552
Linear,mae,1.9408813723639247
Linear,mae,2.213611261499869
Linear,mae,2.1410138849335905
Linear,mae,2.277717483640121
Linear,mae,2.185500505159972
Linear,mae,2.0951378129717915
Linear,mae,2.216227735992695
Ridge,rmse,1.525552505979433
Ridge,rmse,2.670129876874495
Ridge,rmse,2.2529033460561627
Ridge,rmse,1.5127112582442073
Ridge,rmse,2.390847685270041
Ridge,rmse,1.850364912501073
Ridge,rmse,2.1880240396743798
Ridge,rmse,1.861119903594291
Ridge,rmse,1.8447120361922413
Ridge,rmse,2.1438985017192826
Ridge,rsq,0.8612624222152331
Ridge,rsq,0.6314677885451427
Ridge,rsq,0.7530339403304042
Ridge,rsq,0.8584353886835208
Ridge,rsq,0.7619720615962581
Ridge,rsq,0.8258873186573512
Ridge,rsq,0.7630973026725454
Ridge,rsq,0.8242971941872312
Ridge,rsq,0.8299335883610013
Ridge,rsq,0.7818229449041805
Ridge,mae,1.2130137085397972
Ridge,mae,1.990039313904521
Ridge,mae,1.8330941071881812
Ridge,mae,1.25874447617579
Ridge,mae,1.8212704217317381
Ridge,mae,1.6059217685252778
Ridge,mae,1.757756665644295
Ridge,mae,1.4352510485096939
Ridge,mae,1.4689089380240246
Ridge,mae,1.8124014579533527
Lasso,rmse,3.9033258448538004
Lasso,rmse,4.487666048557958
Lasso,rmse,4.4474236999633385
Lasso,rmse,4.034984675589598
Lasso,rmse,4.555738001977538
Lasso,rmse,4.436411876748725
Lasso,rmse,4.130881665795695
