"well_position","sample","target","carbon_id","carbon_source"
"A1","A2","EC",2,"Dextrin"
"A2","A2","EC",2,"Dextrin"
"A3","A2","EC",2,"Dextrin"
"A4","A3","EC",3,"D-Maltose"
"A5","A3","EC",3,"D-Maltose"
"A6","A3","EC",3,"D-Maltose"
"A7","A4","EC",4,"D-Trehalose"
"A8","A4","EC",4,"D-Trehalose"
"A9","A4","EC",4,"D-Trehalose"
"A10","A5","EC",5,"D-Cellobiose"
"A11","A5","EC",5,"D-Cellobiose"
"A12","A5","EC",5,"D-Cellobiose"
"A13","A6","EC",6,"Gentiobiosse"
"A14","A6","EC",6,"Gentiobiosse"
"A15","A6","EC",6,"Gentiobiosse"
"A16","A7","EC",7,"Sucrose"
"A17","A7","EC",7,"Sucrose"
"A18","A7","EC",7,"Sucrose"
"A19","A8","EC",8,"D-Turanose"
"A20","A8","EC",8,"D-Turanose"
"A21","A8","EC",8,"D-Turanose"
"A22","A9","EC",9,"Stachyose"
"A23","A9","EC",9,"Stachyose"
"A24","A9","EC",9,"Stachyose"
"B1","A2","PP",2,"Dextrin"
"B2","A2","PP",2,"Dextrin"
"B3","A2","PP",2,"Dextrin"
"B4","A3","PP",3,"D-Maltose"
"B5","A3","PP",3,"D-Maltose"
"B6","A3","PP",3,"D-Maltose"
"B7","A4","PP",4,"D-Trehalose"
"B8","A4","PP",4,"D-Trehalose"
"B9","A4","PP",4,"D-Trehalose"
"B10","A5","PP",5,"D-Cellobiose"
"B11","A5","PP",5,"D-Cellobiose"
"B12","A5","PP",5,"D-Cellobiose"
"B13","A6","PP",6,"Gentiobiosse"
"B14","A6","PP",6,"Gentiobiosse"
"B15","A6","PP",6,"Gentiobiosse"
"B16","A7","PP",7,"Sucrose"
"B17","A7","PP",7,"Sucrose"
"B18","A7","PP",7,"Sucrose"
"B19","A8","PP",8,"D-Turanose"
"B20","A8","PP",8,"D-Turanose"
"B21","A8","PP",8,"D-Turanose"
"B22","A9","PP",9,"Stachyose"
"B23","A9","PP",9,"Stachyose"
"B24","A9","PP",9,"Stachyose"
"C1","A2","16S",2,"Dextrin"
"C2","A2","16S",2,"Dextrin"
"C3","A2","16S",2,"Dextrin"
"C4","A3","16S",3,"D-Maltose"
"C5","A3","16S",3,"D-Maltose"
"C6","A3","16S",3,"D-Maltose"
"C7","A4","16S",4,"D-Trehalose"
"C8","A4","16S",4,"D-Trehalose"
"C9","A4","16S",4,"D-Trehalose"
"C10","A5","16S",5,"D-Cellobiose"
"C11","A5","16S",5,"D-Cellobiose"
"C12","A5","16S",5,"D-Cellobiose"
"C13","A6","16S",6,"Gentiobiosse"
"C14","A6","16S",6,"Gentiobiosse"
"C15","A6","16S",6,"Gentiobiosse"
"C16","A7","16S",7,"Sucrose"
"C17","A7","16S",7,"Sucrose"
"C18","A7","16S",7,"Sucrose"
"C19","A8","16S",8,"D-Turanose"
"C20","A8","16S",8,"D-Turanose"
"C21","A8","16S",8,"D-Turanose"
"C22","A9","16S",9,"Stachyose"
"C23","A9","16S",9,"Stachyose"
"C24","A9","16S",9,"Stachyose"
"D1","B1","EC",10,"D-Raffinose"
"D2","B1","EC",10,"D-Raffinose"
"D3","B1","EC",10,"D-Raffinose"
"D4","B2","EC",11,"α-D-Lactose"
"D5","B2","EC",11,"α-D-Lactose"
"D6","B2","EC",11,"α-D-Lactose"
"D7","B3","EC",12,"D-Melibiose"
"D8","B3","EC",12,"D-Melibiose"
"D9","B3","EC",12,"D-Melibiose"
"D10","B4","EC",13,"β-Methyl-D-Glucoside"
"D11","B4","EC",13,"β-Methyl-D-Glucoside"
"D12","B4","EC",13,"β-Methyl-D-Glucoside"
"D13","B5","EC",14,"D-Salicin"
"D14","B5","EC",14,"D-Salicin"
"D15","B5","EC",14,"D-Salicin"
"D16","B6","EC",15,"N-Acetyl-D-Glucosamine"
"D17","B6","EC",15,"N-Acetyl-D-Glucosamine"
"D18","B6","EC",15,"N-Acetyl-D-Glucosamine"
"D19","B7","EC",16,"N-Acetyl-β-Dmannosamine"
"D20","B7","EC",16,"N-Acetyl-β-Dmannosamine"
"D21","B7","EC",16,"N-Acetyl-β-Dmannosamine"
"D22","B8","EC",17,"N-Acetyl-D-Galactosamine"
"D23","B8","EC",17,"N-Acetyl-D-Galactosamine"
"D24","B8","EC",17,"N-Acetyl-D-Galactosamine"
"E1","B1","PP",10,"D-Raffinose"
"E2","B1","PP",10,"D-Raffinose"
"E3","B1","PP",10,"D-Raffinose"
"E4","B2","PP",11,"α-D-Lactose"
"E5","B2","PP",11,"α-D-Lactose"
"E6","B2","PP",11,"α-D-Lactose"
"E7","B3","PP",12,"D-Melibiose"
"E8","B3","PP",12,"D-Melibiose"
"E9","B3","PP",12,"D-Melibiose"
"E10","B4","PP",13,"β-Methyl-D-Glucoside"
"E11","B4","PP",13,"β-Methyl-D-Glucoside"
"E12","B4","PP",13,"β-Methyl-D-Glucoside"
"E13","B5","PP",14,"D-Salicin"
"E14","B5","PP",14,"D-Salicin"
"E15","B5","PP",14,"D-Salicin"
"E16","B6","PP",15,"N-Acetyl-D-Glucosamine"
"E17","B6","PP",15,"N-Acetyl-D-Glucosamine"
"E18","B6","PP",15,"N-Acetyl-D-Glucosamine"
"E19","B7","PP",16,"N-Acetyl-β-Dmannosamine"
"E20","B7","PP",16,"N-Acetyl-β-Dmannosamine"
"E21","B7","PP",16,"N-Acetyl-β-Dmannosamine"
"E22","B8","PP",17,"N-Acetyl-D-Galactosamine"
"E23","B8","PP",17,"N-Acetyl-D-Galactosamine"
"E24","B8","PP",17,"N-Acetyl-D-Galactosamine"
"F1","B1","16S",10,"D-Raffinose"
"F2","B1","16S",10,"D-Raffinose"
"F3","B1","16S",10,"D-Raffinose"
"F4","B2","16S",11,"α-D-Lactose"
"F5","B2","16S",11,"α-D-Lactose"
"F6","B2","16S",11,"α-D-Lactose"
"F7","B3","16S",12,"D-Melibiose"
"F8","B3","16S",12,"D-Melibiose"
"F9","B3","16S",12,"D-Melibiose"
"F10","B4","16S",13,"β-Methyl-D-Glucoside"
"F11","B4","16S",13,"β-Methyl-D-Glucoside"
"F12","B4","16S",13,"β-Methyl-D-Glucoside"
"F13","B5","16S",14,"D-Salicin"
"F14","B5","16S",14,"D-Salicin"
"F15","B5","16S",14,"D-Salicin"
"F16","B6","16S",15,"N-Acetyl-D-Glucosamine"
"F17","B6","16S",15,"N-Acetyl-D-Glucosamine"
"F18","B6","16S",15,"N-Acetyl-D-Glucosamine"
"F19","B7","16S",16,"N-Acetyl-β-Dmannosamine"
"F20","B7","16S",16,"N-Acetyl-β-Dmannosamine"
"F21","B7","16S",16,"N-Acetyl-β-Dmannosamine"
"F22","B8","16S",17,"N-Acetyl-D-Galactosamine"
"F23","B8","16S",17,"N-Acetyl-D-Galactosamine"
"F24","B8","16S",17,"N-Acetyl-D-Galactosamine"
"G1","B9","EC",18,"N-AcetylNeuraminic Acid"
"G2","B9","EC",18,"N-AcetylNeuraminic Acid"
"G3","B9","EC",18,"N-AcetylNeuraminic Acid"
"G4","C1","EC",19,"α-D-Glucose"
"G5","C1","EC",19,"α-D-Glucose"
"G6","C1","EC",19,"α-D-Glucose"
"G7","C2","EC",20,"D-Mannose"
"G8","C2","EC",20,"D-Mannose"
"G9","C2","EC",20,"D-Mannose"
"G10","C3","EC",21,"D-Fructose"
"G11","C3","EC",21,"D-Fructose"
"G12","C3","EC",21,"D-Fructose"
"G13","C4","EC",22,"D-Galactose"
"G14","C4","EC",22,"D-Galactose"
"G15","C4","EC",22,"D-Galactose"
"G16","C5","EC",23,"3-MethylGlucose"
"G17","C5","EC",23,"3-MethylGlucose"
"G18","C5","EC",23,"3-MethylGlucose"
"G19","C6","EC",24,"D-Fucose"
"G20","C6","EC",24,"D-Fucose"
"G21","C6","EC",24,"D-Fucose"
"G22","C7","EC",25,"L-Fucose"
"G23","C7","EC",25,"L-Fucose"
"G24","C7","EC",25,"L-Fucose"
"H1","B9","PP",18,"N-AcetylNeuraminic Acid"
"H2","B9","PP",18,"N-AcetylNeuraminic Acid"
"H3","B9","PP",18,"N-AcetylNeuraminic Acid"
"H4","C1","PP",19,"α-D-Glucose"
"H5","C1","PP",19,"α-D-Glucose"
"H6","C1","PP",19,"α-D-Glucose"
"H7","C2","PP",20,"D-Mannose"
"H8","C2","PP",20,"D-Mannose"
"H9","C2","PP",20,"D-Mannose"
"H10","C3","PP",21,"D-Fructose"
"H11","C3","PP",21,"D-Fructose"
"H12","C3","PP",21,"D-Fructose"
"H13","C4","PP",22,"D-Galactose"
"H14","C4","PP",22,"D-Galactose"
"H15","C4","PP",22,"D-Galactose"
"H16","C5","PP",23,"3-MethylGlucose"
"H17","C5","PP",23,"3-MethylGlucose"
